"scheme","k","N","degree","worst","best"
"NNB",7,794328.234724282,1,2.35180411852776e-05,0.683811789325035
"NNB",7,1e+06,1,2.96073695371657e-05,0.765323879409444
"NNB",7,1258925.41179417,1,3.72733270146419e-05,0.838762037651935
"NNB",7,1584893.19246111,1,4.69241121250352e-05,0.899478156262188
"NNB",7,1995262.31496888,1,5.90735983062585e-05,0.944547603396964
"NNB",7,2511886.43150958,1,7.43686853023062e-05,0.973776577479817
"NNB",7,3162277.66016838,1,9.36237263370332e-05,0.989784776639817
"NNB",7,3981071.70553497,1,0.000117863859580125,0.996882607032748
"NNB",7,5011872.33627272,1,0.000148379543737476,0.999300366660433
"NNB",7,6309573.44480194,1,0.000186795189736966,0.999893358243243
"NNB",7,7943282.34724282,1,0.000235155523992336,0.999990012501459
"NNB",7,1e+07,1,0.000296034251651256,0.999999493372216
"NNB",7,12589254.1179417,1,0.000372670757819105,0.999999988123923
"NNB",7,15848931.9246111,1,0.000469142049394744,0.999999999894657
"NNB",7,19952623.1496888,1,0.00059057897174708,0.999999999999725
"NNB",7,25118864.3150958,1,0.000743438020813114,1
"NNB",7,31622776.6016838,1,0.000935842918736052,1
"NNB",7,39810717.0553497,1,0.00117801365722059,1
"NNB",7,50118723.3627272,1,0.00148280508728393,1
"NNB",7,63095734.4480194,1,0.00186638251931248,1
"NNB",7,79432823.4724282,1,0.00234906838429927,1
"NNB",7,1e+08,1,0.00295640199558478,1
"NNB",7,125892541.179417,1,0.0037204640278623,1
"NNB",7,158489319.246111,1,0.00468152863262472,1
"NNB",7,199526231.496888,1,0.00589011915156423,1
"NNB",7,251188643.150958,1,0.00740955794774434,1
"NNB",7,316227766.016838,1,0.00931911629144944,1
"NNB",7,398107170.553499,1,0.011717885110254,1
"NNB",7,501187233.627271,1,0.0147294990988942,1
"NNB",7,630957344.480194,1,0.0185078505429881,1
"NNB",7,794328234.724282,1,0.0232439174578053,1
"NNB",7,1e+09,1,0.0291737906812701,1
"NNB",7,1258925411.79417,1,0.03658789662989,1
"NNB",7,1584893192.46111,1,0.0458412464984868,1
"NNB",7,1995262314.96888,1,0.0573642547307756,1
"NNB",7,2511886431.50958,1,0.0716731979340121,1
"NNB",7,3162277660.16838,1,0.0893786491211237,1
"NNB",7,3981071705.53499,1,0.111189125833424,1
"NNB",7,5011872336.27271,1,0.137905644412992,1
"NNB",7,6309573444.80194,1,0.170400842926705,1
"NNB",7,7943282347.24282,1,0.20957395181184,1
"NNB",7,1e+10,1,0.256270643474853,1
"NNB",7,12589254117.9417,1,0.311155840274151,1
"NNB",7,15848931924.6111,1,0.374530137040825,1
"NNB",7,19952623149.6888,1,0.446090205995857,1
"NNB",7,25118864315.0958,1,0.52465504045346,1
"NNB",7,31622776601.6838,1,0.60791675150015,1
"NNB",7,39810717055.3499,1,0.692324019371513,1
"NNB",7,50118723362.7271,1,0.773249623758788,1
"NNB",7,63095734448.0194,1,0.845587298521556,1
"NNB",7,79432823472.4282,1,0.904805372621643,1
"NNB",7,1e+11,1,0.948221526438542,1
"NNB",7,125892541179.417,1,0.975944753781461,1
"NNB",7,158489319246.111,1,0.990836447148079,1
"NNB",7,199526231496.888,1,0.997281117481828,1
"NNB",7,251188643150.958,1,0.999411035753982,1
"NNB",7,316227766016.838,1,0.9999141415829,1
"NNB",7,398107170553.499,1,0.999992397858751,1
"NNB",7,501187233627.271,1,0.999999640681016,1
"NNB",7,630957344480.194,1,0.999999992293979,1
"NNB",7,794328234724.282,1,0.999999999938888,1
"NNB",7,1e+12,1,0.999999999999861,1
"NNB",7,10000,2,2.50679125546327e-06,0.0592969771563883
"NNB",7,12589.2541179417,2,3.15586218935238e-06,0.0740687803511041
"NNB",7,15848.9319246111,2,3.97299348309232e-06,0.0923359999578126
"NNB",7,19952.6231496888,2,5.00169988404409e-06,0.11482150852099
"NNB",7,25118.8643150958,2,6.29676300889503e-06,0.14233873868205
"NNB",7,31622.7766016838,2,7.9271485017296e-06,0.175767834092833
"NNB",7,39810.7170553497,2,9.97967844995618e-06,0.216006148941507
"NNB",7,50118.7233627273,2,1.25636545700303e-05,0.263881864316854
"NNB",7,63095.7344480193,2,1.58166782767699e-05,0.320018889002066
"NNB",7,79432.8234724282,2,1.99119774394463e-05,0.384644585481726
"NNB",7,1e+05,2,2.50676297762764e-05,0.457343017147151
"NNB",7,125892.541179417,2,3.15581737213577e-05,0.536780029439515
"NNB",7,158489.319246111,2,3.97292245277736e-05,0.620465633412696
"NNB",7,199526.231496888,2,5.00158730907252e-05,0.704669346268237
"NNB",7,251188.643150958,2,6.29658459034843e-05,0.784643520083183
"NNB",7,316227.766016838,2,7.92686572911316e-05,0.855290984159448
"NNB",7,398107.170553497,2,9.97923028900338e-05,0.912274356051253
"NNB",7,501187.233627272,2,0.000125629442894071,0.953282975337792
"NNB",7,630957.344480193,2,0.000158155525713854,0.97886664310749
"NNB",7,794328.234724282,2,0.000199101933433865,0.99221497049057
"NNB",7,1e+06,2,0.000250648022280475,0.997785610780972
"NNB",7,1258925.41179417,2,0.000315536924660575,0.999545145237455
"NNB",7,1584893.19246111,2,0.000397221224294753,0.999937982954733
"NNB",7,1995262.31496888,2,0.000500046174480406,0.999994952396099
"NNB",7,2511886.43150958,2,0.000629480077590117,0.999999785424843
"NNB",7,3162277.66016838,2,0.000792403874272263,0.999999995973239
"NNB",7,3981071.70553497,2,0.000997475015466209,0.999999999973006
"NNB",7,5011872.33627272,2,0.00125558444276019,0.99999999999995
"NNB",7,6309573.44480194,2,0.00158043013906006,1
"NNB",7,7943282.34724282,2,0.00198923641003868,1
"NNB",7,1e+07,2,0.00250365501219607,1
"NNB",7,12589254.1179417,2,0.00315089265465507,1
"NNB",7,15848931.9246111,2,0.00396511944722722,1
"NNB",7,19952623.1496888,2,0.00498922465789065,1
"NNB",7,25118864.3150958,2,0.00627699964180273,1
"NNB",7,31622776.6016838,2,0.00789584269092614,1
"NNB",7,39810717.0553497,2,0.00993009600203132,1
"NNB",7,50118723.3627272,2,0.0124851392835915,1
"NNB",7,63095734.4480194,2,0.0156923746129467,1
"NNB",7,79432823.4724282,2,0.0197152376363925,1
"NNB",7,1e+08,2,0.0247563521523991,1
"NNB",7,125892541.179417,2,0.0310658942165067,1
"NNB",7,158489319.246111,2,0.038951125893761,1
"NNB",7,199526231.496888,2,0.0487868641423413,1
"NNB",7,251188643.150958,2,0.061026318450646,1
"NNB",7,316227766.016838,2,0.0762111947544996,1
"NNB",7,398107170.553499,2,0.09497913696736,1
"NNB",7,501187233.627271,2,0.118065364324921,1
"NNB",7,630957344.480194,2,0.146293681445829,1
"NNB",7,794328234.724282,2,0.180549886410092,1
"NNB",7,1e+09,2,0.22172818541332,1
"NNB",7,1258925411.79417,2,0.270639179619049,1
"NNB",7,1584893192.46111,2,0.327867736770316,1
"NNB",7,1995262314.96888,2,0.393573193258154,1
"NNB",7,2511886431.50958,2,0.467236827781374,1
"NNB",7,3162277660.16838,2,0.547387076451328,1
"NNB",7,3981071705.53499,2,0.63137404632357,1
"NNB",7,5011872336.27271,2,0.715315391786025,1
"NNB",7,6309573444.80194,2,0.794370718578957,1
"NNB",7,7943282347.24282,2,0.863470909322965,1
"NNB",7,1e+10,2,0.918470829086746,1
"NNB",7,12589254117.9417,2,0.957398557684338,1
"NNB",7,15848931924.6111,2,0.981183128200034,1
"NNB",7,19952623149.6888,2,0.993273581138502,1
"NNB",7,25118864315.0958,2,0.99815777801165,1
"NNB",7,31622776601.6838,2,0.999639197529213,1
"NNB",7,39810717055.3499,2,0.999953670342321,1
"NNB",7,50118723362.7271,2,0.999996503448963,1
"NNB",7,63095734448.0194,2,0.999999864839566,1
"NNB",7,79432823472.4282,2,0.99999999774964,1
"NNB",7,1e+11,2,0.999999999987024,1
"NNB",7,125892541179.417,2,0.99999999999998,1
"NNB",7,158489319246.111,2,1,1
"NNB",7,199526231496.888,2,1,1
"NNB",7,251188643150.958,2,1,1
"NNB",7,316227766016.838,2,1,1
"NNB",7,398107170553.499,2,1,1
"NNB",7,501187233627.271,2,1,1
"NNB",7,630957344480.194,2,1,1
"NNB",7,794328234724.282,2,1,1
"NNB",7,1e+12,2,1,1
"NNB",8,10000,1,7.13947134745041e-09,0.00173742268042054
"NNB",8,12589.2541179417,1,8.98806196136803e-09,0.00218679336279914
"NNB",8,15848.9319246111,1,1.13152995862009e-08,0.00275222991375179
"NNB",8,19952.6231496888,1,1.42451180851211e-08,0.00346361677177098
"NNB",8,25118.8643150958,1,1.79335412076043e-08,0.0043584782360091
"NNB",8,31622.7766016838,1,2.25769906103679e-08,0.00548389957212658
"NNB",8,39810.7170553497,1,2.84227471558651e-08,0.00689891243168073
"NNB",8,50118.7233627273,1,3.57821184904239e-08,0.00867744569718809
"NNB",8,63095.7344480193,1,4.50470181156959e-08,0.0109119581200636
"NNB",8,79432.8234724282,1,5.67108354720958e-08,0.0137178821816785
"NNB",8,1e+05,1,7.13947113650804e-08,0.0172390155618889
"NNB",8,125892.541179417,1,8.98806156168774e-08,0.0216539907903546
"NNB",8,158489.319246111,1,1.13152989755783e-07,0.0271839242014712
"NNB",8,199526.231496888,1,1.42451172080449e-07,0.0341012749806112
"NNB",8,251188.643150958,1,1.79335397199054e-07,0.0427398074224754
"NNB",8,316227.766016838,1,2.25769883455129e-07,0.0535053052683534
"NNB",8,398107.170553497,1,2.84227435254358e-07,0.0668862802921606
"NNB",8,501187.233627272,1,3.57821127838776e-07,0.0834632731341953
"NNB",8,630957.344480193,1,4.50470089785604e-07,0.103914370642283
"NNB",8,794328.234724282,1,5.6710821016992e-07,0.129013165449443
"NNB",8,1e+06,1,7.13946884611794e-07,0.159613500883143
"NNB",8,1258925.41179417,1,8.98805792681756e-07,0.19661304039042
"NNB",8,1584893.19246111,1,1.13152932101901e-06,0.240885325123067
"NNB",8,1995262.31496888,1,1.42451080775707e-06,0.293168447294559
"NNB",8,2511886.43150958,1,1.79335252448176e-06,0.353899625713776
"NNB",8,3162277.66016838,1,2.25769654116359e-06,0.422991992595763
"NNB",8,3981071.70553497,1,2.84227071700727e-06,0.499567219966692
"NNB",8,5011872.33627272,1,3.57820551621923e-06,0.581689540253044
"NNB",8,6309573.44480194,1,4.50469176627166e-06,0.666193241544894
"NNB",8,7943282.34724282,1,5.67106762949798e-06,0.748744310654599
"NNB",8,1e+07,1,7.13944590902127e-06,0.824292350894658
"NNB",8,12589254.1179417,1,8.9880215734528e-06,0.887992325412078
"NNB",8,15848931.9246111,1,1.1315235593945e-05,0.936456099280724
"NNB",8,19952623.1496888,1,1.424501676206e-05,0.968871422125447
"NNB",8,25118864.3150958,1,1.7933380520252e-05,0.987323483493444
"NNB",8,31622776.6016838,1,2.2576736039559e-05,0.995909104356664
"NNB",8,39810717.0553497,1,2.84223436406439e-05,0.999014951765292
"NNB",8,50118723.3627272,1,3.57814790078459e-05,0.999835945842296
"NNB",8,63095734.4480194,1,4.50460045221535e-05,0.999982822844223
"NNB",8,79432823.4724282,1,5.67092290715276e-05,0.999998997327635
"NNB",8,1e+08,1,7.13921654081906e-05,0.999999971951691
"NNB",8,125892541.179417,1,8.98765805176227e-05,0.999999999689202
"NNB",8,158489319.246111,1,0.000113146594558411,0.999999999998927
"NNB",8,199526231.496888,1,0.000142441036544705,0.999999999999999
"NNB",8,251188643.150958,1,0.000179319333618699,1
"NNB",8,316227766.016838,1,0.000225744424870444,1
"NNB",8,398107170.553499,1,0.000284187086829091,1
"NNB",8,501187233.627271,1,0.000357757181434937,1
"NNB",8,630957344.480194,1,0.000450368744775553,1
"NNB",8,794328234.724282,1,0.000566947595447731,1
"NNB",8,1e+09,1,0.000713692339883276,1
"NNB",8,1258925411.79417,1,0.000898402391295905,1
"NNB",8,1584893192.46111,1,0.00113089002253819,1
"NNB",8,1995262314.96888,1,0.00142349768696637,1
"NNB",8,2511886431.50958,1,0.00179174703384766,1
"NNB",8,3162277660.16838,1,0.00225515240410534,1
"NNB",8,3981071705.53499,1,0.00283823931760008,1
"NNB",8,5011872336.27271,1,0.00357181774660076,1
"NNB",8,6309573444.80194,1,0.00449457096074202,1
"NNB",8,7943282347.24282,1,0.0056550334699238,1
"NNB",8,1e+10,1,0.00711404591325793,1
"NNB",8,12589254117.9417,1,0.00894779008271374,1
"NNB",8,15848931924.6111,1,0.0112515223885212,1
"NNB",8,19952623149.6888,1,0.0141441365937474,1
"NNB",8,25118864315.0958,1,0.0177736923520904,1
"NNB",8,31622776601.6838,1,0.0223240378545031,1
"NNB",8,39810717055.3499,1,0.0280226211330555,1
"NNB",8,50118723362.7271,1,0.0351495070005844,1
"NNB",8,63095734448.0194,1,0.044047467274177,1
"NNB",8,79432823472.4282,1,0.0551327495786315,1
"NNB",8,1e+11,1,0.0689056963242897,1
"NNB",8,125892541179.417,1,0.0859597027999399,1
"NNB",8,158489319246.111,1,0.106985978014243,1
"NNB",8,199526231496.888,1,0.132770110514078,1
"NNB",8,251188643150.958,1,0.164174494575758,1
"NNB",8,316227766016.838,1,0.202098329443461,1
"NNB",8,398107170553.499,1,0.247404571887114,1
"NNB",8,501187233627.271,1,0.300801913820872,1
"NNB",8,630957344480.194,1,0.362671585076369,1
"NNB",8,794328234724.282,1,0.432836904938984,1
"NNB",8,1e+12,1,0.510292565919047,1
"NNB",8,10000,2,6.76149914946578e-08,0.00831865094733386
"NNB",8,12589.2541179417,2,8.51222302644672e-08,0.0104612593311985
"NNB",8,15848.9319246111,2,1.07162537621441e-07,0.0131520622847592
"NNB",8,19952.6231496888,2,1.34909639903924e-07,0.0165291808832434
"NNB",8,25118.8643150958,2,1.69841171016039e-07,0.0207642932595402
"NNB",8,31622.7766016838,2,2.1381736148296e-07,0.0260700612421555
"NNB",8,39810.7170553497,2,2.69180102430155e-07,0.0327087693174886
"NNB",8,50118.7233627273,2,3.38877659489256e-07,0.0410021010336734
"NNB",8,63095.7344480193,2,4.26621678317751e-07,0.0513417569957259
"NNB",8,79432.8234724282,2,5.37084842378022e-07,0.0642002468779975
"NNB",8,1e+05,2,6.76149709444296e-07,0.0801405939493123
"NNB",8,125892.541179417,2,8.51221976794214e-07,0.0998227849555187
"NNB",8,158489.319246111,2,1.07162485962764e-06,0.124003484237524
"NNB",8,199526.231496888,2,1.3490955804718e-06,0.153523738048885
"NNB",8,251188.643150958,2,1.69841041264274e-06,0.189277153933978
"NNB",8,316227.766016838,2,2.1381715579194e-06,0.232148630506581
"NNB",8,398107.170553497,2,2.69179776402062e-06,0.282911916621993
"NNB",8,501187.233627272,2,3.38877142747052e-06,0.342074745832808
"NNB",8,630957.344480193,2,4.26620859317328e-06,0.409665931870027
"NNB",8,794328.234724282,2,5.37083544360772e-06,0.484973870982807
"NNB",8,1e+06,2,6.76147652112213e-06,0.566274919762124
"NNB",8,1258925.41179417,2,8.51218716246827e-06,0.650634383838191
"NNB",8,1584893.19246111,2,1.07161969192804e-05,0.733912919889516
"NNB",8,1995262.31496888,2,1.34908739028994e-05,0.811136586274097
"NNB",8,2511886.43150958,2,1.69839743199285e-05,0.877334024890837
"NNB",8,3162277.66016838,2,2.13815098507597e-05,0.928752171585527
"NNB",8,3981071.70553497,2,2.69176515821368e-05,0.964047834503374
"NNB",8,5011872.33627272,2,3.38871975101851e-05,0.98480273035675
"NNB",8,6309573.44480194,2,4.266126691721e-05,0.994859818308165
"NNB",8,7943282.34724282,2,5.37070563902953e-05,0.998686915640763
"NNB",8,1e+07,2,6.76127079576316e-05,0.999764416233821
"NNB",8,12589254.1179417,2,8.51186111182622e-05,0.999972910461657
"NNB",8,15848931.9246111,2,0.000107156801681385,0.999998220746297
"NNB",8,19952623.1496888,2,0.000134900549158101,0.999999942259791
"NNB",8,25118864.3150958,2,0.000169826763294689,0.999999999228668
"NNB",8,31622776.6016838,2,0.000213794527077704,0.999999999996629
"NNB",8,39810717.0553497,2,0.000269143912963177,0.999999999999996
"NNB",8,50118723.3627272,2,0.000338820304374376,1
"NNB",8,63095734.4480194,2,0.0004265307792225,1
"NNB",8,79432823.4724282,2,0.000536940782335127,1
"NNB",8,1e+08,2,0.000675921400140056,1
"NNB",8,125892541.179417,2,0.000850860152167843,1
"NNB",8,158489319.246111,2,0.00107105144833142,1
"NNB",8,199526231.496888,2,0.00134818686898708,1
"NNB",8,251188643.150958,2,0.00169697036970251,1
"NNB",8,316227766.016838,2,0.00213588957850397,1
"NNB",8,398107170.553499,2,0.00268818173802987,1
"NNB",8,501187233.627271,2,0.00338304174459358,1
"NNB",8,630957344.480194,2,0.00425713031429753,1
"NNB",8,794328234.724282,2,0.00535645263909124,1
"NNB",8,1e+09,2,0.00673869187630471,1
"NNB",8,1258925411.79417,2,0.00847609699574203,1
"NNB",8,1584893192.46111,2,0.0106590398420502,1
"NNB",8,1995262314.96888,2,0.0134003697017002,1
"NNB",8,2511886431.50958,2,0.0168407014930776,1
"NNB",8,3162277660.16838,2,0.0211547696101841,1
"NNB",8,3981071705.53499,2,0.026558953081619,1
"NNB",8,5011872336.27271,2,0.0333200125928291,1
"NNB",8,6309573444.80194,2,0.0417649507044424,1
"NNB",8,7943282347.24282,2,0.05229167551817,1
"NNB",8,1e+10,2,0.0653797610963517,1
"NNB",8,12589254117.9417,2,0.0815999820875504,1
"NNB",8,15848931924.6111,2,0.101620364541987,1
"NNB",8,19952623149.6888,2,0.12620514368788,1
"NNB",8,25118864315.0958,2,0.156201186551063,1
"NNB",8,31622776601.6838,2,0.192504167093139,1
"NNB",8,39810717055.3499,2,0.235994383716535,1
"NNB",8,50118723362.7271,2,0.287430421051317,1
"NNB",8,63095734448.0194,2,0.347289619382293,1
"NNB",8,79432823472.4282,2,0.415550550394102,1
