"scheme","k","n","cov","eff","div"
"NNB",6,4.4e+07,0.343694913189554,0.367487045141388,0.290001861527546
"NNB",6,4.5e+07,0.348320210470903,0.364156248260201,0.290001861527546
"NNB",6,4.6e+07,0.35287187663153,0.360894963396818,0.290001861527546
"NNB",6,4.7e+07,0.357351958889837,0.357700802830812,0.290001861527546
"NNB",6,4.8e+07,0.361762419890784,0.354571494926122,0.290001861527546
"NNB",6,4.9e+07,0.366105142404702,0.351504876797136,0.290001861527546
"NNB",6,5e+07,0.370381933696907,0.348498887545092,0.290001861527546
"NNB",6,5.1e+07,0.37459452959595,0.345551562012197,0.290001861527546
"NNB",6,5.2e+07,0.378744598285565,0.342661025006451,0.290001861527546
"NNB",6,5.3e+07,0.382833743842992,0.339825485955129,0.290001861527546
"NNB",6,5.4e+07,0.386863509544113,0.337043233949161,0.290001861527546
"NNB",6,5.5e+07,0.39083538095396,0.33431263314454,0.290001861527546
"NNB",6,5.6e+07,0.394750788819404,0.331632118490246,0.290001861527546
"NNB",6,5.7e+07,0.398611111779289,0.329000191755195,0.290001861527546
"NNB",6,5.8e+07,0.402417678905931,0.326415417829391,0.290001861527546
"NNB",6,5.9e+07,0.40617177209061,0.323876421276847,0.290001861527546
"NNB",6,6e+07,0.409874628284616,0.321381883119954,0.290001861527546
"NNB",6,6.1e+07,0.413527441606403,0.318930537836873,0.290001861527546
"NNB",6,6.2e+07,0.417131365324479,0.316521170555209,0.290001861527546
"NNB",6,6.3e+07,0.420687513724885,0.314152614426775,0.290001861527546
"NNB",6,6.4e+07,0.424196963871339,0.311823748169568,0.290001861527546
"NNB",6,6.5e+07,0.427660757265508,0.309533493764353,0.290001861527546
"NNB",6,6.6e+07,0.431079901414212,0.307280814294314,0.290001861527546
"NNB",6,6.7e+07,0.434455371309865,0.305064711917235,0.290001861527546
"NNB",6,6.8e+07,0.437788110829938,0.302884225960589,0.290001861527546
"NNB",6,6.9e+07,0.441079034060766,0.300738431130692,0.290001861527546
"NNB",6,7e+07,0.444329026550656,0.298626435827829,0.290001861527546
"NNB",6,7.1e+07,0.447538946496813,0.296547380559922,0.290001861527546
"NNB",6,7.2e+07,0.450709625870319,0.294500436447911,0.290001861527546
"NNB",6,7.3e+07,0.453841871483044,0.292484803816556,0.290001861527546
"NNB",6,7.4e+07,0.456936466000105,0.290499710864885,0.290001861527546
"NNB",6,7.5e+07,0.459994168901222,0.288544412410944,0.290001861527546
"NNB",6,7.6e+07,0.463015717394072,0.286618188705936,0.290001861527546
"NNB",6,7.7e+07,0.466001827282526,0.284720344313199,0.290001861527546
"NNB",6,7.8e+07,0.468953193792462,0.282850207047822,0.290001861527546
"NNB",6,7.9e+07,0.471870492357632,0.28100712697302,0.290001861527546
"NNB",6,8e+07,0.474754379367931,0.279190475449657,0.290001861527546
"NNB",6,8.1e+07,0.47760549288221,0.27739964423559,0.290001861527546
"NNB",6,8.2e+07,0.480424453307675,0.275634044631743,0.290001861527546
"NNB",6,8.3e+07,0.483211864047744,0.273893106672028,0.290001861527546
"NNB",6,8.4e+07,0.485968312120127,0.272176278354457,0.290001861527546
"NNB",6,8.5e+07,0.488694368746778,0.270483024910953,0.290001861527546
"NNB",6,8.6e+07,0.491390589917256,0.26881282811357,0.290001861527546
"NNB",6,8.7e+07,0.494057516926947,0.26716518561495,0.290001861527546
"NNB",6,8.8e+07,0.496695676891469,0.265539610321029,0.290001861527546
"NNB",6,8.9e+07,0.49930558323857,0.263935629794127,0.290001861527546
"NNB",6,9e+07,0.501887736178657,0.262352785684672,0.290001861527546
"NNB",6,9.1e+07,0.504442623155112,0.260790633189926,0.290001861527546
"NNB",6,9.2e+07,0.506970719275413,0.259248740538212,0.290001861527546
"NNB",6,9.3e+07,0.509472487724052,0.257726688497201,0.290001861527546
"NNB",6,9.4e+07,0.511948380158181,0.256224069904942,0.290001861527546
"NNB",6,9.5e+07,0.514398837086842,0.254740489222378,0.290001861527546
"NNB",6,9.6e+07,0.516824288234607,0.253275562106198,0.290001861527546
"NNB",6,9.7e+07,0.519225152890398,0.251828915000912,0.290001861527546
"NNB",6,9.8e+07,0.521601840242213,0.250400184749145,0.290001861527546
"NNB",6,9.9e+07,0.523954749698437,0.248989018219166,0.290001861527546
"NNB",6,1e+08,0.526284271196392,0.247595071948772,0.290001861527546
"NNB",6,1.1e+08,0.548372723251621,0.234533435288561,0.290001861527546
"NNB",6,1.2e+08,0.568491074691864,0.222876362079296,0.290001861527546
"NNB",6,1.3e+08,0.586910413103079,0.212397826557756,0.290001861527546
"NNB",6,1.4e+08,0.603851407030204,0.202919438834468,0.290001861527546
"NNB",6,1.5e+08,0.619495992368899,0.194298231579761,0.290001861527546
"NNB",6,1.6e+08,0.633995855005593,0.18641808468179,0.290001861527546
"NNB",6,1.7e+08,0.647478712311496,0.179183567349646,0.290001861527546
"NNB",6,1.8e+08,0.660053046817406,0.172515428301439,0.290001861527546
"NNB",6,1.9e+08,0.671811729085796,0.166347235057761,0.290001861527546
"NNB",6,2e+08,0.682834828908297,0.160622830517375,0.290001861527546
"NNB",6,2.1e+08,0.693191823794105,0.155294381201859,0.290001861527546
"NNB",6,2.2e+08,0.702943353412217,0.150320860701691,0.290001861527546
"NNB",6,2.3e+08,0.712142627495494,0.145666857861654,0.290001861527546
"NNB",6,2.4e+08,0.720836566112049,0.141301630457317,0.290001861527546
"NNB",6,2.5e+08,0.729066731000823,0.137198346670895,0.290001861527546
"NNB",6,2.6e+08,0.736870092174807,0.133333471803519,0.290001861527546
"NNB",6,2.7e+08,0.744279663457494,0.129686268436079,0.290001861527546
"NNB",6,2.8e+08,0.751325032859575,0.126238386029402,0.290001861527546
"NNB",6,2.9e+08,0.758032807924052,0.122973521640313,0.290001861527546
"NNB",6,3e+08,0.764426991817388,0.119877137634096,0.290001861527546
"NNB",6,3.1e+08,0.77052930263652,0.116936225415647,0.290001861527546
"NNB",6,3.2e+08,0.776359445863117,0.114139106572819,0.290001861527546
"NNB",6,3.3e+08,0.781935347931795,0.111475264631796,0.290001861527546
"NNB",6,3.4e+08,0.787273357346031,0.10893520201227,0.290001861527546
"NNB",6,3.5e+08,0.792388418570392,0.10651031784526,0.290001861527546
"NNB",6,3.6e+08,0.797294222973562,0.10419280315556,0.290001861527546
"NNB",6,3.7e+08,0.802003340336245,0.101975550570436,0.290001861527546
"NNB",6,3.8e+08,0.806527333828102,0.0998520762382215,0.290001861527546
"NNB",6,3.9e+08,0.810876860865896,0.0978164520562833,0.290001861527546
"NNB",6,4e+08,0.815061761865785,0.0958632466409701,0.290001861527546
"NNB",6,4.1e+08,0.819091138577148,0.0939874737406221,0.290001861527546
"NNB",6,4.2e+08,0.82297342341843,0.0921845470102526,0.290001861527546
"NNB",6,4.3e+08,0.826716441015651,0.0904502402436414,0.290001861527546
"NNB",6,4.4e+08,0.830327462962356,0.088780652303543,0.290001861527546
"NNB",6,4.5e+08,0.833813256668621,0.0871721761098987,0.290001861527546
"NNB",6,4.6e+08,0.837180129040582,0.085621471144365,0.290001861527546
"NNB",6,4.7e+08,0.840433965626333,0.0841254390110948,0.290001861527546
"NNB",6,4.8e+08,0.843580265775138,0.0826812016616781,0.290001861527546
"NNB",6,4.9e+08,0.84662417428194,0.081286081948962,0.290001861527546
"NNB",6,5e+08,0.849570509925638,0.0799375862221418,0.290001861527546
"NNB",6,5.1e+08,0.85242379125563,0.0786333887156494,0.290001861527546
"NNB",6,5.2e+08,0.855188259935124,0.0773713175182787,0.290001861527546
"NNB",6,5.3e+08,0.857867901910418,0.0761493419377305,0.290001861527546
"NNB",6,5.4e+08,0.860466466641573,0.0749655611002035,0.290001861527546
"NNB",6,5.5e+08,0.862987484600958,0.0738181936455018,0.290001861527546
"NNB",6,5.6e+08,0.865434283221089,0.0727055683959636,0.290001861527546
"NNB",6,5.7e+08,0.8678100014516,0.0716261158928101,0.290001861527546
"NNB",6,5.8e+08,0.870117603066421,0.0705783607066691,0.290001861527546
"NNB",6,5.9e+08,0.872359888845966,0.0695609144403738,0.290001861527546
"NNB",6,6e+08,0.874539507744949,0.0685724693519457,0.290001861527546
"NNB",6,6.1e+08,0.876658967144071,0.0676117925341686,0.290001861527546
"NNB",6,6.2e+08,0.878720642272998,0.0666777205945468,0.290001861527546
"NNB",6,6.3e+08,0.880726784882541,0.0657691547858676,0.290001861527546
"NNB",6,6.4e+08,0.882679531235626,0.0648850565431985,0.290001861527546
"NNB",6,6.5e+08,0.884580909479298,0.0640244433880536,0.290001861527546
"NNB",6,6.6e+08,0.88643284645352,0.063186385164763,0.290001861527546
"NNB",6,6.7e+08,0.888237173986824,0.0623700005778514,0.290001861527546
"NNB",6,6.8e+08,0.889995634723788,0.0615744540025512,0.290001861527546
"NNB",6,6.9e+08,0.891709887524849,0.0607989525435035,0.290001861527546
"NNB",6,7e+08,0.893381512474944,0.0600427433192803,0.290001861527546
"NNB",6,7.1e+08,0.895012015533948,0.0593051109526482,0.290001861527546
"NNB",6,7.2e+08,0.896602832858703,0.0585853752485187,0.290001861527546
"NNB",6,7.3e+08,0.898155334823616,0.0578828890433246,0.290001861527546
"NNB",6,7.4e+08,0.899670829764267,0.0571970362111635,0.290001861527546
"NNB",6,7.5e+08,0.901150567466238,0.0565272298134655,0.290001861527546
"NNB",6,7.6e+08,0.902595742419311,0.0558729103802178,0.290001861527546
"NNB",6,7.7e+08,0.904007496855406,0.0552335443119056,0.290001861527546
"NNB",6,7.8e+08,0.905386923586954,0.0546086223923435,0.290001861527546
"NNB",6,7.9e+08,0.906735068660971,0.0539976584034821,0.290001861527546
"NNB",6,8e+08,0.908052933842726,0.0534001878340822,0.290001861527546
"NNB",6,8.1e+08,0.909341478941757,0.0528157666748863,0.290001861527546
"NNB",6,8.2e+08,0.910601623991833,0.0522439702935689,0.290001861527546
"NNB",6,8.3e+08,0.911834251295571,0.051684392383344,0.290001861527546
"NNB",6,8.4e+08,0.913040207343436,0.0511366439796365,0.290001861527546
"NNB",6,8.5e+08,0.914220304616133,0.050600352539711,0.290001861527546
"NNB",6,8.6e+08,0.915375323278603,0.0500751610805833,0.290001861527546
"NNB",6,8.7e+08,0.916506012773222,0.049560727370935,0.290001861527546
"NNB",6,8.8e+08,0.917613093319167,0.0490567231731085,0.290001861527546
"NNB",6,8.9e+08,0.918697257324374,0.048562833531583,0.290001861527546
"NNB",6,9e+08,0.919759170716013,0.0480787561046269,0.290001861527546
"NNB",6,9.1e+08,0.920799474194949,0.0476042005360859,0.290001861527546
"NNB",6,9.2e+08,0.921818784419239,0.0471388878645132,0.290001861527546
"NNB",6,9.3e+08,0.922817695121321,0.0466825499670666,0.290001861527546
"NNB",6,9.4e+08,0.923796778163228,0.0462349290357986,0.290001861527546
"NNB",6,9.5e+08,0.924756584533813,0.0457957770841518,0.290001861527546
"NNB",6,9.6e+08,0.925697645291692,0.0453648554816387,0.290001861527546
"NNB",6,9.7e+08,0.926620472457342,0.044941934514837,0.290001861527546
"NNB",6,9.8e+08,0.927525559857536,0.0445267929729755,0.290001861527546
"NNB",6,9.9e+08,0.928413383925079,0.0441192177565117,0.290001861527546
"NNB",6,1e+09,0.929284404456586,0.0437190035072204,0.290001861527546
"NNB",6,1.1e+09,0.937161009907331,0.0400814230454001,0.290001861527546
"NNB",6,1.2e+09,0.943763067582549,0.0370001374747363,0.290001861527546
"NNB",6,1.3e+09,0.949361007831659,0.0343565576926833,0.290001861527546
"NNB",6,1.4e+09,0.9541550590987,0.0320636181185039,0.290001861527546
"NNB",6,1.5e+09,0.958296527698971,0.0300559362698927,0.290001861527546
"NNB",6,1.6e+09,0.9619017854519,0.028283448082536,0.290001861527546
"NNB",6,1.7e+09,0.965061725342884,0.0267071641694918,0.290001861527546
"NNB",6,1.8e+09,0.967848311004124,0.0252962647030839,0.290001861527546
"NNB",6,1.9e+09,0.970319211073411,0.0240260642821966,0.290001861527546
"NNB",6,2e+09,0.97252114092376,0.0228765569329417,0.290001861527546
"NNB",6,2.1e+09,0.974492313199141,0.0218313568581817,0.290001861527546
"NNB",6,2.2e+09,0.97626426216436,0.0208769146828806,0.290001861527546
"NNB",6,2.3e+09,0.977863220514108,0.0200019290028624,0.290001861527546
"NNB",6,2.4e+09,0.979311171357613,0.0191968986790254,0.290001861527546
"NNB",6,2.5e+09,0.98062666112566,0.0184537780818981,0.290001861527546
