"scheme","Counts","samp.encoding","probs","k","di","choices"
"NNB","1,2,1,2,0","ABBCDD",8.32393435959966e-05,6,720,180
"NNB","1,2,1,1,1","ABBCDE",3.46830598316652e-05,6,600,360
"NNB","1,2,1,0,2","ABBCEE",1.44512749298604e-05,6,500,180
"NNB","1,2,0,3,0","ABBDDD",6.65914748767973e-05,6,864,60
"NNB","1,2,0,2,1","ABBDDE",2.77464478653322e-05,6,720,180
"NNB","1,2,0,1,2","ABBDEE",1.15610199438884e-05,6,600,180
"NNB","1,2,0,0,3","ABBEEE",4.81709164328684e-06,6,500,60
"NNB","1,1,4,0,0","ABCCCC",0.000243865264441397,6,1250,30
"NNB","1,1,3,1,0","ABCCCD",0.000195092211553117,6,1500,120
"NNB","1,1,3,0,1","ABCCCE",8.12884214804656e-05,6,1250,120
"NNB","1,1,2,2,0","ABCCDD",0.000156073769242494,6,1800,180
"NNB","1,1,2,1,1","ABCCDE",6.50307371843725e-05,6,1500,360
"NNB","1,1,2,0,2","ABCCEE",2.70961404934886e-05,6,1250,180
"NNB","1,1,1,3,0","ABCDDD",0.000124859015393995,6,2160,120
"NNB","1,1,1,2,1","ABCDDE",5.20245897474978e-05,6,1800,360
"NNB","1,1,1,1,2","ABCDEE",2.16769123947908e-05,6,1500,360
"NNB","1,1,1,0,3","ABCEEE",9.03204683116281e-06,6,1250,120
"NNB","1,1,0,4,0","ABDDDD",9.98872123151958e-05,6,2592,30
"NNB","1,1,0,3,1","ABDDDE",4.16196717979982e-05,6,2160,120
"NNB","1,1,0,2,2","ABDDEE",1.73415299158326e-05,6,1800,180
"NNB","1,1,0,1,3","ABDEEE",7.22563746493026e-06,6,1500,120
"NNB","1,1,0,0,4","ABEEEE",3.01068227705429e-06,6,1250,30
"NNB","1,0,5,0,0","ACCCCC",0.000457247370827617,6,3125,6
"NNB","1,0,4,1,0","ACCCCD",0.000365797896662093,6,3750,30
"NNB","1,0,4,0,1","ACCCCE",0.000152415790275872,6,3125,30
"NNB","1,0,3,2,0","ACCCDD",0.000292638317329675,6,4500,60
"NNB","1,0,3,1,1","ACCCDE",0.000121932632220698,6,3750,120
"NNB","1,0,3,0,2","ACCCEE",5.08052634252909e-05,6,3125,60
"NNB","1,0,2,3,0","ACCDDD",0.000234110653863741,6,5400,60
"NNB","1,0,2,2,1","ACCDDE",9.75461057765586e-05,6,4500,180
"NNB","1,0,2,1,2","ACCDEE",4.06442107402328e-05,6,3750,180
"NNB","1,0,2,0,3","ACCEEE",1.69350878084302e-05,6,3125,60
"NNB","1,0,1,4,0","ACDDDD",0.000187288523090992,6,6480,30
"NNB","1,0,1,3,1","ACDDDE",7.80368846212466e-05,6,5400,120
"NNB","1,0,1,2,2","ACDDEE",3.2515368592186e-05,6,4500,180
"NNB","1,0,1,1,3","ACDEEE",1.35480702467442e-05,6,3750,120
"NNB","1,0,1,0,4","ACEEEE",5.64502926947677e-06,6,3125,30
"NNB","1,0,0,5,0","ADDDDD",0.000149830818472794,6,7776,6
"NNB","1,0,0,4,1","ADDDDE",6.24295076969973e-05,6,6480,30
"NNB","1,0,0,3,2","ADDDEE",2.60122948737489e-05,6,5400,60
"NNB","1,0,0,2,3","ADDEEE",1.08384561973954e-05,6,4500,60
"NNB","1,0,0,1,4","ADEEEE",4.51602341558141e-06,6,3750,30
"NNB","1,0,0,0,5","AEEEEE",1.88167642315892e-06,6,3125,6
"NNB","0,6,0,0,0","BBBBBB",3.15692917934446e-05,6,64,1
"NNB","0,5,1,0,0","BBBBBC",5.91924221127087e-05,6,160,6
"NNB","0,5,0,1,0","BBBBBD",4.73539376901669e-05,6,192,6
"NNB","0,5,0,0,1","BBBBBE",1.97308073709029e-05,6,160,6
"NNB","0,4,2,0,0","BBBBCC",0.000110985791461329,6,400,15
"NNB","0,4,1,1,0","BBBBCD",8.87886331690629e-05,6,480,30
"NNB","0,4,1,0,1","BBBBCE",3.69952638204429e-05,6,400,30
"NNB","0,4,0,2,0","BBBBDD",7.10309065352504e-05,6,576,15
"NNB","0,4,0,1,1","BBBBDE",2.95962110563543e-05,6,480,30
"NNB","0,4,0,0,2","BBBBEE",1.23317546068143e-05,6,400,15
"NNB","0,3,3,0,0","BBBCCC",0.000208098358989991,6,1000,20
"NNB","0,3,2,1,0","BBBCCD",0.000166478687191993,6,1200,60
"NNB","0,3,2,0,1","BBBCCE",6.93661196633303e-05,6,1000,60
